INSTNM,NPT4_COMBINED
Kalamazoo College,18873
Kalamazoo Valley Community College,2991
Kankakee Community College,5190
Kansas Christian College,15686
Kansas City Art Institute,29555
Kansas City Kansas Community College,15255
Kansas State University,17883
Kansas Wesleyan University,23369
Kapiolani Community College,5194
Kaskaskia College,6839
Kauai Community College,5724
Kean University,12168
Keene Beauty Academy,15087
Keene State College,19164
Kehilath Yakov Rabbinical Seminary,3074
Keiser University-Ft Lauderdale,34439
Kellogg Community College,4867
Kennebec Valley Community College,6994
Kennesaw State University,16972
Kenneth Shuler School of Cosmetology and Nails-Columbia,16640
Kenneth Shuler School of Cosmetology-Columbia,13152
Kenneth Shuler School of Cosmetology-Florence,20345
Kenneth Shuler School of Cosmetology-Goose Creek,15092
Kenneth Shuler School of Cosmetology-Greenville,20721
Kenneth Shuler School of Cosmetology-North Augusta,17947
Kenneth Shuler School of Cosmetology-Rock Hill,13887
Kenneth Shuler School of Cosmetology-Spartanburg,14083
Kenny's Academy of Barbering,15665
Kent State University at Ashtabula,10753
Kent State University at East Liverpool,10569
Kent State University at Geauga,10964
Kent State University at Kent,19614
Kent State University at Salem,11593
Kent State University at Stark,11310
Kent State University at Trumbull,10679
Kent State University at Tuscarawas,11480
Kentucky Christian University,22139
Kentucky Horseshoeing School,30111
Kentucky Mountain Bible College,9904
Kentucky State University,8900
Kentucky Wesleyan College,36431
Kenyon College,29383
Keser Torah-Mayan Hatalmud,9706
Kettering College,15156
Kettering University,33092
Keuka College,25989
Keune Academy by 124,15992
Keweenaw Bay Ojibwa Community College,529
Key College,14507
Keystone College,21461
Kiamichi Technology Center-McAlester,6927
Kilgore College,6629
King University,23508
King's College,23281
Kino College,24064
Kirksville Area Technical Center,5885
Kirkwood Community College,9388
Kirtland Community College,9615
Kishwaukee College,6480
Klamath Community College,8084
Knox College,24875
Kutztown University of Pennsylvania,21205
Kuyper College,28458
L Makeup Institute,28320
L'esprit Academy,27617
LIM College,37514
La Belle Beauty Academy,20261
La Belle Beauty School,12731
La James College of Hairstyling and Cosmetology,9098
La James International College-Cedar Falls,18965
La James International College-Davenport,20940
La James International College-Ft Dodge,17276
La James International College-Johnston,17456
La Roche University,21972
La Salle University,21409
La Sierra University,26217
LaBarberia Institute of Hair,12899
LaGrange College,17805
LaSalle Tech,10463
Labette Community College,7795
Lac Courte Oreilles Ojibwe University,11536
Lackawanna College,24449
Lafayette College,32496
Laguna College of Art and Design,42354
Lake Area Technical College,14826
Lake Erie College,21296
Lake Forest College,27499
Lake Land College,3271
Lake Michigan College,11209
Lake Region State College,10989
Lake Superior College,16050
Lake Superior State University,14368
Lake Tahoe Community College,10975
Lake Technical College,14597
Lake Washington Institute of Technology,5886
Lake-Sumter State College,5742
Lakeland Community College,7557
Lakeland University,22092
Lakes Region Community College,19607
Lakeshore Technical College,8579
Lamar Community College,10328
Lamar Institute of Technology,8167
Lamar State College-Orange,1691
Lamar State College-Port Arthur,4887
Lamar University,11429
Lamson Institute,24617
Lancaster Beauty School,21235
Lancaster Bible College,22870
Lancaster County Career and Technology Center,15866
Lancaster School of Cosmetology & Therapeutic Bodywork,12358
Lander University,14501
Landmark College,50879
Lane College,14494
Lane Community College,7427
Laney College,15805
Langston University,11359
Lanier Technical College,5613
Lansdale School of Business,24539
Lansdale School of Cosmetology Inc,16884
Lansing Community College,4003
Laramie County Community College,7143
Laredo CHI Academy Beauty School,9674
Laredo College,5309
Larry's Barber College,11692
Larry's Barber College,16813
Larry's Barber College-Joliet,16362
Las Positas College,4175
Las Vegas College,29115
Lasell University,24944
Lassen Community College,7677
Latin American Bible Institute,9140
Latin Beauty Academy,16207
Laurel Business Institute,10086
Laurel Ridge Community College,5586
Laurel Technical Institute,9139
Laurus College,15693
Lawrence & Company College of Cosmetology,12304
Lawrence & Company College of Cosmetology,19422
Lawrence Technological University,33995
Lawrence University,24563
Lawrenceburg Technical College,10912
Lawson State Community College,6564
Le Moyne College,21547
Le Moyne-Owen College,8992
LeGrand Institute of Cosmetology Inc,12118
LeTourneau University,25314
Lebanon County Area Vocational Technical School,21959
Lebanon Valley College,28132
Lee College,7519
Lee Professional Institute,16308
Lee University,20399
Leech Lake Tribal College,13746
Lees-McRae College,25765
Leeward Community College,7636
Legends Barber College,11445
Lehigh Carbon Community College,9568
Lehigh University,33549
Lehigh Valley Barber School,14398
Lemoore College,7961
Lenape Technical School Practical Nursing Program,11454
Lenoir Community College,5116
Lenoir-Rhyne University,23393
Leon Studio One School of Beauty Knowledge,18979
Leons Beauty School Inc,2921
Lesley University,31805
Leston College,8709
Lewis & Clark College,36084
Lewis University,18370
Lewis and Clark Community College,4281
Lewis-Clark State College,12832
Lex La-Ray Technical Center,2607
Lia Schorr Institute of Cosmetic Skin Care Training,7295
Liberty University,29552
Liceo de Arte y Tecnologia,17134
Life Pacific University,22343
Life University,30257
Lil Lou's Beauty and Barber College,20019
Lil Lou's Beauty and Barber College-Hammond,15799
Limestone University,20415
Lincoln Christian University,17610
Lincoln College of Technology-Columbia,29997
Lincoln College of Technology-Denver,32060
Lincoln College of Technology-Grand Prairie,30391
Lincoln College of Technology-Indianapolis,29530
Lincoln College of Technology-Marietta,29503
Lincoln College of Technology-Melrose Park,24334
Lincoln College of Technology-Nashville,27603
Lincoln Land Community College,5294
Lincoln Memorial University,17999
Lincoln Technical Institute-Allentown,36307
Lincoln Technical Institute-East Windsor,26269
Lincoln Technical Institute-Iselin,40179
Lincoln Technical Institute-Lincoln,30860
Lincoln Technical Institute-Mahwah,29211
Lincoln Technical Institute-Moorestown,38792
Lincoln Technical Institute-New Britain,30180
Lincoln Technical Institute-Paramus,39706
Lincoln Technical Institute-Philadelphia,28399
Lincoln Technical Institute-Shelton,35543
Lincoln Technical Institute-South Plainfield,28743
Lincoln Technical Institute-Union,25407
Lincoln Technical Institute-Whitestone,32648
Lincoln Trail College,8719
Lincoln University,12484
Lincoln University,12912
Lindenwood University,18516
Lindsey Hopkins Technical College,6900
Lindsey Institute of Cosmetology,14227
Lindsey Wilson College,13811
Linfield University,27341
Linn-Benton Community College,11070
Lionel University,29539
Lipscomb University,25610
Little Big Horn College,8715
Little Priest Tribal College,10687
Lively Technical College,7225
Livingstone College,15662
Logan University,18094
Lone Star College System,9322
Long Beach City College,5001
Long Island Beauty School-Hauppauge,23106
Long Island Beauty School-Hempstead,29171
Long Island Business Institute,11166
Long Island Nail Skin & Hair Institute,13510
Long Island University,23901
Longwood University,20814
Longy School of Music of Bard College,43291
Lorain County Community College,4598
Lorain County Joint Vocational School District,11870
Loraines Academy & Spa,11727
Loras College,21057
Lorenzo Walker Technical College,12241
Los Angeles City College,7532
Los Angeles College of Aesthetics,22239
Los Angeles College of Music,40853
Los Angeles Film School,33130
Los Angeles Harbor College,11245
Los Angeles Mission College,11972
Los Angeles Pacific University,20170
Los Angeles Pierce College,11196
Los Angeles Southwest College,6683
Los Angeles Trade Technical College,10658
Los Angeles Valley College,10200
Los Medanos College,5692
Louisburg College,26403
Louisiana Academy of Beauty,20597
Louisiana Christian University,16874
Louisiana Culinary Institute,29765
Louisiana Delta Community College,8306
Louisiana State University and Agricultural & Mechanical College,20015
Louisiana State University-Alexandria,8365
Louisiana State University-Eunice,9619
Louisiana State University-Shreveport,8130
Louisiana Tech University,12209
Lourdes University,21596
Love Beauty School Inc,7814
Lowell Academy Hairstyling Institute,16686
Lower Columbia College,8222
Loyola Marymount University,45723
Loyola University Chicago,35196
Loyola University Maryland,29633
Loyola University New Orleans,22762
Lu Ross Academy,15711
Lubbock Christian University,25910
Luckes Beauty Academy LLC,15361
Luna Community College,7039
Lurleen B Wallace Community College,3041
Luther College,25635
Luther Rice College & Seminary,3935
Luzerne County Community College,10228
Lycoming College,19258
Lyle's College of  Beauty,17560
Lyle's College of Beauty,19746
Lynn University,38222
Lynnes Welding Training,23093
Lyon College,22670
Lytles Redwood Empire Beauty College,24603
M J Murphy Beauty College of Mount Pleasant,13516
M T Training Center,9784
MAK Beauty Institute,6239
MCI,21615
MCPHS University,35084
MCVSD,24170
MDT College of Health Sciences,27375
MIAT College of Technology,21202
MIXED Institute of Cosmetology & Barber,21829
MTI College,20336
Macalester College,29980
Machzikei Hadath Rabbinical College,8328
Macomb Community College,5725
Madera Community College,-489
Madison Adult Career Center,9173
Madison Area Technical College,12392
Madison Oneida BOCES-Practical Nursing Program,24085
Madisonville Community College,5782
Madonna University,17815
Magdalen College,15922
Maharishi International University,18225
Mahoning County Career and Technical Center,23248
